resource_key,action_key,display_name,context_type,risk_level
nutrition_intake,create,Create nutrition intake,COLLECTION,STANDARD
nutrition_intake,list,List nutrition intake,COLLECTION,STANDARD
nutrition_intake,read,Read nutrition intake,INSTANCE,STANDARD
nutrition_intake,update,Update nutrition intake,INSTANCE,ELEVATED
nutrition_intake,delete,Delete nutrition intake,INSTANCE,ELEVATED
nutrition_intake,assign,Assign nutrition intake,INSTANCE,ELEVATED
vision_prescription,create,Create vision prescription,COLLECTION,STANDARD
vision_prescription,list,List vision prescription,COLLECTION,STANDARD
vision_prescription,read,Read vision prescription,INSTANCE,STANDARD
vision_prescription,update,Update vision prescription,INSTANCE,ELEVATED
vision_prescription,delete,Delete vision prescription,INSTANCE,ELEVATED
vision_prescription,assign,Assign vision prescription,INSTANCE,ELEVATED
risk_assessment,create,Create risk assessment,COLLECTION,STANDARD
risk_assessment,list,List risk assessment,COLLECTION,STANDARD
risk_assessment,read,Read risk assessment,INSTANCE,STANDARD
risk_assessment,update,Update risk assessment,INSTANCE,ELEVATED
risk_assessment,delete,Delete risk assessment,INSTANCE,ELEVATED
risk_assessment,assign,Assign risk assessment,INSTANCE,ELEVATED
request_orchestration,create,Create request orchestration,COLLECTION,STANDARD
request_orchestration,list,List request orchestration,COLLECTION,STANDARD
request_orchestration,read,Read request orchestration,INSTANCE,STANDARD
request_orchestration,update,Update request orchestration,INSTANCE,ELEVATED
request_orchestration,delete,Delete request orchestration,INSTANCE,ELEVATED
request_orchestration,assign,Assign request orchestration,INSTANCE,ELEVATED
communication,create,Create communication,COLLECTION,STANDARD
communication,list,List communication,COLLECTION,STANDARD
communication,read,Read communication,INSTANCE,STANDARD
communication,update,Update communication,INSTANCE,ELEVATED
communication,delete,Delete communication,INSTANCE,ELEVATED
communication,assign,Assign communication,INSTANCE,ELEVATED
communication_request,create,Create communication request,COLLECTION,STANDARD
communication_request,list,List communication request,COLLECTION,STANDARD
communication_request,read,Read communication request,INSTANCE,STANDARD
communication_request,update,Update communication request,INSTANCE,ELEVATED
communication_request,delete,Delete communication request,INSTANCE,ELEVATED
communication_request,assign,Assign communication request,INSTANCE,ELEVATED
guidance_response,create,Create guidance response,COLLECTION,STANDARD
guidance_response,list,List guidance response,COLLECTION,STANDARD
guidance_response,read,Read guidance response,INSTANCE,STANDARD
guidance_response,update,Update guidance response,INSTANCE,ELEVATED
guidance_response,delete,Delete guidance response,INSTANCE,ELEVATED
guidance_response,assign,Assign guidance response,INSTANCE,ELEVATED
supply_request,create,Create supply request,COLLECTION,STANDARD
supply_request,list,List supply request,COLLECTION,STANDARD
supply_request,read,Read supply request,INSTANCE,STANDARD
supply_request,update,Update supply request,INSTANCE,ELEVATED
supply_request,delete,Delete supply request,INSTANCE,ELEVATED
supply_request,assign,Assign supply request,INSTANCE,ELEVATED
supply_delivery,create,Create supply delivery,COLLECTION,STANDARD
supply_delivery,list,List supply delivery,COLLECTION,STANDARD
supply_delivery,read,Read supply delivery,INSTANCE,STANDARD
supply_delivery,update,Update supply delivery,INSTANCE,ELEVATED
supply_delivery,delete,Delete supply delivery,INSTANCE,ELEVATED
supply_delivery,assign,Assign supply delivery,INSTANCE,ELEVATED
coverage,create,Create coverage,COLLECTION,STANDARD
coverage,list,List coverage,COLLECTION,STANDARD
coverage,read,Read coverage,INSTANCE,STANDARD
coverage,update,Update coverage,INSTANCE,ELEVATED
coverage,delete,Delete coverage,INSTANCE,ELEVATED
coverage,assign,Assign coverage,INSTANCE,ELEVATED
coverage_eligibility_request,create,Create coverage eligibility request,COLLECTION,STANDARD
coverage_eligibility_request,list,List coverage eligibility request,COLLECTION,STANDARD
coverage_eligibility_request,read,Read coverage eligibility request,INSTANCE,STANDARD
coverage_eligibility_request,update,Update coverage eligibility request,INSTANCE,ELEVATED
coverage_eligibility_request,delete,Delete coverage eligibility request,INSTANCE,ELEVATED
coverage_eligibility_request,assign,Assign coverage eligibility request,INSTANCE,ELEVATED
coverage_eligibility_response,create,Create coverage eligibility response,COLLECTION,STANDARD
coverage_eligibility_response,list,List coverage eligibility response,COLLECTION,STANDARD
coverage_eligibility_response,read,Read coverage eligibility response,INSTANCE,STANDARD
coverage_eligibility_response,update,Update coverage eligibility response,INSTANCE,ELEVATED
coverage_eligibility_response,delete,Delete coverage eligibility response,INSTANCE,ELEVATED
coverage_eligibility_response,assign,Assign coverage eligibility response,INSTANCE,ELEVATED
enrollment_request,create,Create enrollment request,COLLECTION,STANDARD
enrollment_request,list,List enrollment request,COLLECTION,STANDARD
enrollment_request,read,Read enrollment request,INSTANCE,STANDARD
enrollment_request,update,Update enrollment request,INSTANCE,ELEVATED
enrollment_request,delete,Delete enrollment request,INSTANCE,ELEVATED
enrollment_request,assign,Assign enrollment request,INSTANCE,ELEVATED
enrollment_response,create,Create enrollment response,COLLECTION,STANDARD
enrollment_response,list,List enrollment response,COLLECTION,STANDARD
enrollment_response,read,Read enrollment response,INSTANCE,STANDARD
enrollment_response,update,Update enrollment response,INSTANCE,ELEVATED
enrollment_response,delete,Delete enrollment response,INSTANCE,ELEVATED
enrollment_response,assign,Assign enrollment response,INSTANCE,ELEVATED
claim,create,Create claim,COLLECTION,STANDARD
claim,list,List claim,COLLECTION,STANDARD
claim,read,Read claim,INSTANCE,STANDARD
claim,update,Update claim,INSTANCE,ELEVATED
claim,delete,Delete claim,INSTANCE,ELEVATED
claim,assign,Assign claim,INSTANCE,ELEVATED
claim_response,create,Create claim response,COLLECTION,STANDARD
claim_response,list,List claim response,COLLECTION,STANDARD
claim_response,read,Read claim response,INSTANCE,STANDARD
claim_response,update,Update claim response,INSTANCE,ELEVATED
claim_response,delete,Delete claim response,INSTANCE,ELEVATED
claim_response,assign,Assign claim response,INSTANCE,ELEVATED
invoice,create,Create invoice,COLLECTION,STANDARD
invoice,list,List invoice,COLLECTION,STANDARD
invoice,read,Read invoice,INSTANCE,STANDARD
invoice,update,Update invoice,INSTANCE,ELEVATED
invoice,delete,Delete invoice,INSTANCE,ELEVATED
invoice,assign,Assign invoice,INSTANCE,ELEVATED
account,create,Create account,COLLECTION,STANDARD
account,list,List account,COLLECTION,STANDARD
account,read,Read account,INSTANCE,STANDARD
account,update,Update account,INSTANCE,ELEVATED
account,delete,Delete account,INSTANCE,ELEVATED
account,assign,Assign account,INSTANCE,ELEVATED
charge_item,create,Create charge item,COLLECTION,STANDARD
charge_item,list,List charge item,COLLECTION,STANDARD
charge_item,read,Read charge item,INSTANCE,STANDARD
charge_item,update,Update charge item,INSTANCE,ELEVATED
charge_item,delete,Delete charge item,INSTANCE,ELEVATED
charge_item,assign,Assign charge item,INSTANCE,ELEVATED
charge_item_definition,create,Create charge item definition,COLLECTION,STANDARD
charge_item_definition,list,List charge item definition,COLLECTION,STANDARD
charge_item_definition,read,Read charge item definition,INSTANCE,STANDARD
charge_item_definition,update,Update charge item definition,INSTANCE,ELEVATED
charge_item_definition,delete,Delete charge item definition,INSTANCE,ELEVATED
charge_item_definition,assign,Assign charge item definition,INSTANCE,ELEVATED
contract,create,Create contract,COLLECTION,STANDARD
contract,list,List contract,COLLECTION,STANDARD
contract,read,Read contract,INSTANCE,STANDARD
contract,update,Update contract,INSTANCE,ELEVATED
contract,delete,Delete contract,INSTANCE,ELEVATED
contract,assign,Assign contract,INSTANCE,ELEVATED
explanation_of_benefit,create,Create explanation of benefit,COLLECTION,STANDARD
explanation_of_benefit,list,List explanation of benefit,COLLECTION,STANDARD
explanation_of_benefit,read,Read explanation of benefit,INSTANCE,STANDARD
explanation_of_benefit,update,Update explanation of benefit,INSTANCE,ELEVATED
explanation_of_benefit,delete,Delete explanation of benefit,INSTANCE,ELEVATED
explanation_of_benefit,assign,Assign explanation of benefit,INSTANCE,ELEVATED
insurance_plan,create,Create insurance plan,COLLECTION,STANDARD
insurance_plan,list,List insurance plan,COLLECTION,STANDARD
insurance_plan,read,Read insurance plan,INSTANCE,STANDARD
insurance_plan,update,Update insurance plan,INSTANCE,ELEVATED
insurance_plan,delete,Delete insurance plan,INSTANCE,ELEVATED
insurance_plan,assign,Assign insurance plan,INSTANCE,ELEVATED
payment_notice,create,Create payment notice,COLLECTION,STANDARD
payment_notice,list,List payment notice,COLLECTION,STANDARD
payment_notice,read,Read payment notice,INSTANCE,STANDARD
payment_notice,update,Update payment notice,INSTANCE,ELEVATED
payment_notice,delete,Delete payment notice,INSTANCE,ELEVATED
payment_notice,assign,Assign payment notice,INSTANCE,ELEVATED
payment_reconciliation,create,Create payment reconciliation,COLLECTION,STANDARD
payment_reconciliation,list,List payment reconciliation,COLLECTION,STANDARD
payment_reconciliation,read,Read payment reconciliation,INSTANCE,STANDARD
payment_reconciliation,update,Update payment reconciliation,INSTANCE,ELEVATED
payment_reconciliation,delete,Delete payment reconciliation,INSTANCE,ELEVATED
payment_reconciliation,assign,Assign payment reconciliation,INSTANCE,ELEVATED
composition,create,Create composition,COLLECTION,STANDARD
composition,list,List composition,COLLECTION,STANDARD
composition,read,Read composition,INSTANCE,STANDARD
composition,update,Update composition,INSTANCE,ELEVATED
composition,delete,Delete composition,INSTANCE,ELEVATED
composition,assign,Assign composition,INSTANCE,ELEVATED
document_reference,create,Create document reference,COLLECTION,STANDARD
document_reference,list,List document reference,COLLECTION,STANDARD
document_reference,read,Read document reference,INSTANCE,STANDARD
document_reference,update,Update document reference,INSTANCE,ELEVATED
document_reference,delete,Delete document reference,INSTANCE,ELEVATED
document_reference,assign,Assign document reference,INSTANCE,ELEVATED
activity_definition,create,Create activity definition,COLLECTION,STANDARD
activity_definition,list,List activity definition,COLLECTION,STANDARD
activity_definition,read,Read activity definition,INSTANCE,STANDARD
activity_definition,update,Update activity definition,INSTANCE,ELEVATED
activity_definition,delete,Delete activity definition,INSTANCE,ELEVATED
activity_definition,assign,Assign activity definition,INSTANCE,ELEVATED
plan_definition,create,Create plan definition,COLLECTION,STANDARD
plan_definition,list,List plan definition,COLLECTION,STANDARD
plan_definition,read,Read plan definition,INSTANCE,STANDARD
plan_definition,update,Update plan definition,INSTANCE,ELEVATED
plan_definition,delete,Delete plan definition,INSTANCE,ELEVATED
plan_definition,assign,Assign plan definition,INSTANCE,ELEVATED
measure,create,Create measure,COLLECTION,STANDARD
measure,list,List measure,COLLECTION,STANDARD
measure,read,Read measure,INSTANCE,STANDARD
measure,update,Update measure,INSTANCE,ELEVATED
measure,delete,Delete measure,INSTANCE,ELEVATED
measure,assign,Assign measure,INSTANCE,ELEVATED
measure_report,create,Create measure report,COLLECTION,STANDARD
measure_report,list,List measure report,COLLECTION,STANDARD
measure_report,read,Read measure report,INSTANCE,STANDARD
measure_report,update,Update measure report,INSTANCE,ELEVATED
measure_report,delete,Delete measure report,INSTANCE,ELEVATED
measure_report,assign,Assign measure report,INSTANCE,ELEVATED
questionnaire,create,Create questionnaire,COLLECTION,STANDARD
questionnaire,list,List questionnaire,COLLECTION,STANDARD
questionnaire,read,Read questionnaire,INSTANCE,STANDARD
questionnaire,update,Update questionnaire,INSTANCE,ELEVATED
questionnaire,delete,Delete questionnaire,INSTANCE,ELEVATED
questionnaire,assign,Assign questionnaire,INSTANCE,ELEVATED
questionnaire_response,create,Create questionnaire response,COLLECTION,STANDARD
questionnaire_response,list,List questionnaire response,COLLECTION,STANDARD
questionnaire_response,read,Read questionnaire response,INSTANCE,STANDARD
questionnaire_response,update,Update questionnaire response,INSTANCE,ELEVATED
questionnaire_response,delete,Delete questionnaire response,INSTANCE,ELEVATED
questionnaire_response,assign,Assign questionnaire response,INSTANCE,ELEVATED
operation_definition,create,Create operation definition,COLLECTION,STANDARD
operation_definition,list,List operation definition,COLLECTION,STANDARD
operation_definition,read,Read operation definition,INSTANCE,STANDARD
operation_definition,update,Update operation definition,INSTANCE,ELEVATED
operation_definition,delete,Delete operation definition,INSTANCE,ELEVATED
operation_definition,assign,Assign operation definition,INSTANCE,ELEVATED
structure_definition,create,Create structure definition,COLLECTION,STANDARD
structure_definition,list,List structure definition,COLLECTION,STANDARD
structure_definition,read,Read structure definition,INSTANCE,STANDARD
structure_definition,update,Update structure definition,INSTANCE,ELEVATED
structure_definition,delete,Delete structure definition,INSTANCE,ELEVATED
structure_definition,assign,Assign structure definition,INSTANCE,ELEVATED
structure_map,create,Create structure map,COLLECTION,STANDARD
structure_map,list,List structure map,COLLECTION,STANDARD
structure_map,read,Read structure map,INSTANCE,STANDARD
structure_map,update,Update structure map,INSTANCE,ELEVATED
structure_map,delete,Delete structure map,INSTANCE,ELEVATED
structure_map,assign,Assign structure map,INSTANCE,ELEVATED
graph_definition,create,Create graph definition,COLLECTION,STANDARD
graph_definition,list,List graph definition,COLLECTION,STANDARD
graph_definition,read,Read graph definition,INSTANCE,STANDARD
graph_definition,update,Update graph definition,INSTANCE,ELEVATED
graph_definition,delete,Delete graph definition,INSTANCE,ELEVATED
graph_definition,assign,Assign graph definition,INSTANCE,ELEVATED
example_scenario,create,Create example scenario,COLLECTION,STANDARD
example_scenario,list,List example scenario,COLLECTION,STANDARD
example_scenario,read,Read example scenario,INSTANCE,STANDARD
example_scenario,update,Update example scenario,INSTANCE,ELEVATED
example_scenario,delete,Delete example scenario,INSTANCE,ELEVATED
example_scenario,assign,Assign example scenario,INSTANCE,ELEVATED
observation_definition,create,Create observation definition,COLLECTION,STANDARD
observation_definition,list,List observation definition,COLLECTION,STANDARD
observation_definition,read,Read observation definition,INSTANCE,STANDARD
observation_definition,update,Update observation definition,INSTANCE,ELEVATED
observation_definition,delete,Delete observation definition,INSTANCE,ELEVATED
observation_definition,assign,Assign observation definition,INSTANCE,ELEVATED
specimen_definition,create,Create specimen definition,COLLECTION,STANDARD
specimen_definition,list,List specimen definition,COLLECTION,STANDARD
specimen_definition,read,Read specimen definition,INSTANCE,STANDARD
specimen_definition,update,Update specimen definition,INSTANCE,ELEVATED
specimen_definition,delete,Delete specimen definition,INSTANCE,ELEVATED
specimen_definition,assign,Assign specimen definition,INSTANCE,ELEVATED
actor_definition,create,Create actor definition,COLLECTION,STANDARD
actor_definition,list,List actor definition,COLLECTION,STANDARD
actor_definition,read,Read actor definition,INSTANCE,STANDARD
actor_definition,update,Update actor definition,INSTANCE,ELEVATED
actor_definition,delete,Delete actor definition,INSTANCE,ELEVATED
actor_definition,assign,Assign actor definition,INSTANCE,ELEVATED
code_system,create,Create code system,COLLECTION,STANDARD
code_system,list,List code system,COLLECTION,STANDARD
code_system,read,Read code system,INSTANCE,STANDARD
code_system,update,Update code system,INSTANCE,ELEVATED
code_system,delete,Delete code system,INSTANCE,ELEVATED
code_system,assign,Assign code system,INSTANCE,ELEVATED
value_set,create,Create value set,COLLECTION,STANDARD
value_set,list,List value set,COLLECTION,STANDARD
value_set,read,Read value set,INSTANCE,STANDARD
value_set,update,Update value set,INSTANCE,ELEVATED
value_set,delete,Delete value set,INSTANCE,ELEVATED
value_set,assign,Assign value set,INSTANCE,ELEVATED
concept_map,create,Create concept map,COLLECTION,STANDARD
concept_map,list,List concept map,COLLECTION,STANDARD
concept_map,read,Read concept map,INSTANCE,STANDARD
concept_map,update,Update concept map,INSTANCE,ELEVATED
concept_map,delete,Delete concept map,INSTANCE,ELEVATED
concept_map,assign,Assign concept map,INSTANCE,ELEVATED
naming_system,create,Create naming system,COLLECTION,STANDARD
naming_system,list,List naming system,COLLECTION,STANDARD
naming_system,read,Read naming system,INSTANCE,STANDARD
naming_system,update,Update naming system,INSTANCE,ELEVATED
naming_system,delete,Delete naming system,INSTANCE,ELEVATED
naming_system,assign,Assign naming system,INSTANCE,ELEVATED
terminology_capabilities,create,Create terminology capabilities,COLLECTION,STANDARD
terminology_capabilities,list,List terminology capabilities,COLLECTION,STANDARD
terminology_capabilities,read,Read terminology capabilities,INSTANCE,STANDARD
terminology_capabilities,update,Update terminology capabilities,INSTANCE,ELEVATED
terminology_capabilities,delete,Delete terminology capabilities,INSTANCE,ELEVATED
terminology_capabilities,assign,Assign terminology capabilities,INSTANCE,ELEVATED
capability_statement,create,Create capability statement,COLLECTION,STANDARD
capability_statement,list,List capability statement,COLLECTION,STANDARD
capability_statement,read,Read capability statement,INSTANCE,STANDARD
capability_statement,update,Update capability statement,INSTANCE,ELEVATED
capability_statement,delete,Delete capability statement,INSTANCE,ELEVATED
capability_statement,assign,Assign capability statement,INSTANCE,ELEVATED
compartment_definition,create,Create compartment definition,COLLECTION,STANDARD
compartment_definition,list,List compartment definition,COLLECTION,STANDARD
compartment_definition,read,Read compartment definition,INSTANCE,STANDARD
compartment_definition,update,Update compartment definition,INSTANCE,ELEVATED
compartment_definition,delete,Delete compartment definition,INSTANCE,ELEVATED
compartment_definition,assign,Assign compartment definition,INSTANCE,ELEVATED
implementation_guide,create,Create implementation guide,COLLECTION,STANDARD
implementation_guide,list,List implementation guide,COLLECTION,STANDARD
implementation_guide,read,Read implementation guide,INSTANCE,STANDARD
implementation_guide,update,Update implementation guide,INSTANCE,ELEVATED
implementation_guide,delete,Delete implementation guide,INSTANCE,ELEVATED
implementation_guide,assign,Assign implementation guide,INSTANCE,ELEVATED
search_parameter,create,Create search parameter,COLLECTION,STANDARD
search_parameter,list,List search parameter,COLLECTION,STANDARD
search_parameter,read,Read search parameter,INSTANCE,STANDARD
search_parameter,update,Update search parameter,INSTANCE,ELEVATED
search_parameter,delete,Delete search parameter,INSTANCE,ELEVATED
search_parameter,assign,Assign search parameter,INSTANCE,ELEVATED
message_definition,create,Create message definition,COLLECTION,STANDARD
message_definition,list,List message definition,COLLECTION,STANDARD
message_definition,read,Read message definition,INSTANCE,STANDARD
message_definition,update,Update message definition,INSTANCE,ELEVATED
message_definition,delete,Delete message definition,INSTANCE,ELEVATED
message_definition,assign,Assign message definition,INSTANCE,ELEVATED
message_header,create,Create message header,COLLECTION,STANDARD
message_header,list,List message header,COLLECTION,STANDARD
message_header,read,Read message header,INSTANCE,STANDARD
message_header,update,Update message header,INSTANCE,ELEVATED
message_header,delete,Delete message header,INSTANCE,ELEVATED
message_header,assign,Assign message header,INSTANCE,ELEVATED
test_script,create,Create test script,COLLECTION,STANDARD
test_script,list,List test script,COLLECTION,STANDARD
test_script,read,Read test script,INSTANCE,STANDARD
test_script,update,Update test script,INSTANCE,ELEVATED
test_script,delete,Delete test script,INSTANCE,ELEVATED
test_script,assign,Assign test script,INSTANCE,ELEVATED
test_report,create,Create test report,COLLECTION,STANDARD
test_report,list,List test report,COLLECTION,STANDARD
test_report,read,Read test report,INSTANCE,STANDARD
test_report,update,Update test report,INSTANCE,ELEVATED
test_report,delete,Delete test report,INSTANCE,ELEVATED
test_report,assign,Assign test report,INSTANCE,ELEVATED
test_plan,create,Create test plan,COLLECTION,STANDARD
test_plan,list,List test plan,COLLECTION,STANDARD
test_plan,read,Read test plan,INSTANCE,STANDARD
test_plan,update,Update test plan,INSTANCE,ELEVATED
test_plan,delete,Delete test plan,INSTANCE,ELEVATED
test_plan,assign,Assign test plan,INSTANCE,ELEVATED
provenance,create,Create provenance,COLLECTION,STANDARD
provenance,list,List provenance,COLLECTION,STANDARD
provenance,read,Read provenance,INSTANCE,STANDARD
provenance,update,Update provenance,INSTANCE,ELEVATED
provenance,delete,Delete provenance,INSTANCE,ELEVATED
provenance,assign,Assign provenance,INSTANCE,ELEVATED
audit_event,create,Create audit event,COLLECTION,STANDARD
audit_event,list,List audit event,COLLECTION,STANDARD
audit_event,read,Read audit event,INSTANCE,STANDARD
audit_event,update,Update audit event,INSTANCE,ELEVATED
audit_event,delete,Delete audit event,INSTANCE,ELEVATED
audit_event,assign,Assign audit event,INSTANCE,ELEVATED
consent,create,Create consent,COLLECTION,STANDARD
consent,list,List consent,COLLECTION,STANDARD
consent,read,Read consent,INSTANCE,STANDARD
consent,update,Update consent,INSTANCE,ELEVATED
consent,delete,Delete consent,INSTANCE,ELEVATED
consent,assign,Assign consent,INSTANCE,ELEVATED
permission,create,Create permission,COLLECTION,STANDARD
permission,list,List permission,COLLECTION,STANDARD
permission,read,Read permission,INSTANCE,STANDARD
permission,update,Update permission,INSTANCE,ELEVATED
permission,delete,Delete permission,INSTANCE,ELEVATED
permission,assign,Assign permission,INSTANCE,ELEVATED
research_study,create,Create research study,COLLECTION,STANDARD
research_study,list,List research study,COLLECTION,STANDARD
research_study,read,Read research study,INSTANCE,STANDARD
research_study,update,Update research study,INSTANCE,ELEVATED
research_study,delete,Delete research study,INSTANCE,ELEVATED
research_study,assign,Assign research study,INSTANCE,ELEVATED
research_subject,create,Create research subject,COLLECTION,STANDARD
research_subject,list,List research subject,COLLECTION,STANDARD
research_subject,read,Read research subject,INSTANCE,STANDARD
research_subject,update,Update research subject,INSTANCE,ELEVATED
research_subject,delete,Delete research subject,INSTANCE,ELEVATED
research_subject,assign,Assign research subject,INSTANCE,ELEVATED
citation,create,Create citation,COLLECTION,STANDARD
citation,list,List citation,COLLECTION,STANDARD
citation,read,Read citation,INSTANCE,STANDARD
citation,update,Update citation,INSTANCE,ELEVATED
citation,delete,Delete citation,INSTANCE,ELEVATED
citation,assign,Assign citation,INSTANCE,ELEVATED
evidence,create,Create evidence,COLLECTION,STANDARD
evidence,list,List evidence,COLLECTION,STANDARD
evidence,read,Read evidence,INSTANCE,STANDARD
evidence,update,Update evidence,INSTANCE,ELEVATED
evidence,delete,Delete evidence,INSTANCE,ELEVATED
evidence,assign,Assign evidence,INSTANCE,ELEVATED
evidence_report,create,Create evidence report,COLLECTION,STANDARD
evidence_report,list,List evidence report,COLLECTION,STANDARD
evidence_report,read,Read evidence report,INSTANCE,STANDARD
evidence_report,update,Update evidence report,INSTANCE,ELEVATED
evidence_report,delete,Delete evidence report,INSTANCE,ELEVATED
evidence_report,assign,Assign evidence report,INSTANCE,ELEVATED
evidence_variable,create,Create evidence variable,COLLECTION,STANDARD
evidence_variable,list,List evidence variable,COLLECTION,STANDARD
evidence_variable,read,Read evidence variable,INSTANCE,STANDARD
evidence_variable,update,Update evidence variable,INSTANCE,ELEVATED
evidence_variable,delete,Delete evidence variable,INSTANCE,ELEVATED
evidence_variable,assign,Assign evidence variable,INSTANCE,ELEVATED
artifact_assessment,create,Create artifact assessment,COLLECTION,STANDARD
artifact_assessment,list,List artifact assessment,COLLECTION,STANDARD
artifact_assessment,read,Read artifact assessment,INSTANCE,STANDARD
artifact_assessment,update,Update artifact assessment,INSTANCE,ELEVATED
artifact_assessment,delete,Delete artifact assessment,INSTANCE,ELEVATED
artifact_assessment,assign,Assign artifact assessment,INSTANCE,ELEVATED
linkage,create,Create linkage,COLLECTION,STANDARD
linkage,list,List linkage,COLLECTION,STANDARD
linkage,read,Read linkage,INSTANCE,STANDARD
linkage,update,Update linkage,INSTANCE,ELEVATED
linkage,delete,Delete linkage,INSTANCE,ELEVATED
linkage,assign,Assign linkage,INSTANCE,ELEVATED
inventory_item,create,Create inventory item,COLLECTION,STANDARD
inventory_item,list,List inventory item,COLLECTION,STANDARD
inventory_item,read,Read inventory item,INSTANCE,STANDARD
inventory_item,update,Update inventory item,INSTANCE,ELEVATED
inventory_item,delete,Delete inventory item,INSTANCE,ELEVATED
inventory_item,assign,Assign inventory item,INSTANCE,ELEVATED
inventory_report,create,Create inventory report,COLLECTION,STANDARD
inventory_report,list,List inventory report,COLLECTION,STANDARD
inventory_report,read,Read inventory report,INSTANCE,STANDARD
inventory_report,update,Update inventory report,INSTANCE,ELEVATED
inventory_report,delete,Delete inventory report,INSTANCE,ELEVATED
inventory_report,assign,Assign inventory report,INSTANCE,ELEVATED
subscription,create,Create subscription,COLLECTION,STANDARD
subscription,list,List subscription,COLLECTION,STANDARD
subscription,read,Read subscription,INSTANCE,STANDARD
subscription,update,Update subscription,INSTANCE,ELEVATED
subscription,delete,Delete subscription,INSTANCE,ELEVATED
subscription,assign,Assign subscription,INSTANCE,ELEVATED
subscription_status,create,Create subscription status,COLLECTION,STANDARD
subscription_status,list,List subscription status,COLLECTION,STANDARD
subscription_status,read,Read subscription status,INSTANCE,STANDARD
subscription_status,update,Update subscription status,INSTANCE,ELEVATED
subscription_status,delete,Delete subscription status,INSTANCE,ELEVATED
subscription_status,assign,Assign subscription status,INSTANCE,ELEVATED
subscription_topic,create,Create subscription topic,COLLECTION,STANDARD
subscription_topic,list,List subscription topic,COLLECTION,STANDARD
subscription_topic,read,Read subscription topic,INSTANCE,STANDARD
subscription_topic,update,Update subscription topic,INSTANCE,ELEVATED
subscription_topic,delete,Delete subscription topic,INSTANCE,ELEVATED
subscription_topic,assign,Assign subscription topic,INSTANCE,ELEVATED
